"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHNO" "CADE27" "PISI" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "TABR2" "THPL" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
588210 -122.63 46.57 210 0.49 "strong" -10 115.889437157262 88210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600781 -122.34 48.96 20 0.49 "strong" 180 160.652311598466 100781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
593477 -121.94 47.57 30 0.5 "strong" 170 8.40677575786389 93477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600987 -122.48 49 30 0.5 "strong" 170 166.80191058067 100987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
599493 -122.16 48.72 270 0.5 "strong" -70 132.682019653421 99493 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
591123 -121.99 47.14 310 0.5 "strong" -110 43.4561652274514 91123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
590123 -122.21 46.95 470 0.5 "strong" -270 65.8039960186154 90123 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0
588450 -122.66 46.62 240 0.5 "strong" -40 111.734600054743 88450 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
588054 -122.58 46.54 180 0.51 "strong" 20 117.578414838244 88054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
591187 -121.96 47.15 240 0.51 "strong" -40 42.5878728385746 91187 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
599547 -122.11 48.73 260 0.51 "strong" -60 133.58302488818 99547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
593528 -121.93 47.58 20 0.51 "strong" 180 9.65073473266165 93528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
596427 -122.02 48.15 80 0.52 "strong" 120 68.9779635439356 96427 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
587916 -122.47 46.51 240 0.52 "strong" -40 118.097130840964 87916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589356 -122.67 46.79 360 0.52 "strong" -160 95.3137064382005 89356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
593839 -121.95 47.64 30 0.52 "strong" 170 13.812786702617 93839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
599255 -122.14 48.68 120 0.52 "strong" 80 128.145626695031 99255 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0
588973 -122.65 46.72 370 0.53 "strong" -170 101.410479251559 88973 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
586871 -122.73 46.3 240 0.53 "strong" -40 146.610598127891 86871 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
591442 -122 47.2 230 0.53 "strong" -30 36.7478913305868 91442 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588838 -122.73 46.69 270 0.53 "strong" -70 107.242546903076 88838 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
599993 -122.3 48.81 180 0.53 "strong" 20 143.724081409259 99993 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
589557 -122.23 46.83 420 0.53 "strong" -220 79.1875637100772 89557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
599994 -122.2 48.81 80 0.55 "strong" 120 142.892312067607 99994 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
600551 -122.3 48.92 30 0.55 "strong" 170 155.84720725681 100551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600734 -122.17 48.95 180 0.55 "strong" 20 158.250537548533 100734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588365 -122.62 46.6 210 0.55 "strong" -10 112.51932235492 88365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588251 -122.49 46.58 180 0.56 "strong" 20 111.106790077099 88251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600086 -122.23 48.83 270 0.56 "strong" -70 145.314273699742 100086 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587772 -122.32 46.48 91 0.57 "strong" 109 118.6985226231 87772 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586685 -122.73 46.27 240 0.57 "strong" -40 149.729994132191 86685 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
