"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
419825 -122.39 49.05 105 0.54 "strong" 95 171.096571666399 1560497 36 "Sitka_Coastal_Conifer_Forest"
419907 -122.79 49.15 72 0.55 "strong" 128 188.674243236606 1560834 36 "Sitka_Coastal_Conifer_Forest"
419850 -122.56 49.08 77 0.55 "strong" 123 176.739261601117 1560610 36 "Sitka_Coastal_Conifer_Forest"
419892 -121.91 49.12 15 0.55 "strong" 185 177.076768341505 1560770 36 "Sitka_Coastal_Conifer_Forest"
150343 -122.17 48.66 167 0.55 "strong" 33 126.085072449221 483197 31 "Oregonian_Coastal_Conifer_Forest"
419885 -122.57 49.12 13 0.56 "strong" 187 181.238494184982 1560745 36 "Sitka_Coastal_Conifer_Forest"
417236 -122.99 49.23 57 0.56 "strong" 143 201.879078166943 1550101 36 "Sitka_Coastal_Conifer_Forest"
419893 -121.88 49.12 15 0.56 "strong" 185 177.206644451731 1560772 36 "Sitka_Coastal_Conifer_Forest"
160593 -122.09 48.72 271 0.56 "strong" -71 132.417190087676 523715 21 "Cascade-Sierran_Subalpine_Conifer_Forest"
419851 -122.54 49.08 83 0.56 "strong" 117 176.418029943329 1560611 36 "Sitka_Coastal_Conifer_Forest"
417219 -122.92 49.21 91 0.56 "strong" 109 198.024923371396 1550041 36 "Sitka_Coastal_Conifer_Forest"
419879 -122.08 49.1 1 0.57 "strong" 199 174.644362996683 1560707 36 "Sitka_Coastal_Conifer_Forest"
419859 -121.96 49.08 88 0.57 "strong" 112 172.476079632603 1560639 36 "Sitka_Coastal_Conifer_Forest"
149893 -122.74 46.66 245 0.57 "strong" -45 110.530660416378 481419 31 "Oregonian_Coastal_Conifer_Forest"
149913 -122.57 46.79 427 0.57 "strong" -227 91.7138160138126 481539 31 "Oregonian_Coastal_Conifer_Forest"
417166 -122.3 49.11 9 0.57 "strong" 191 176.823274305211 1549833 36 "Sitka_Coastal_Conifer_Forest"
419891 -121.95 49.12 18 0.58 "strong" 182 176.946952212991 1560768 36 "Sitka_Coastal_Conifer_Forest"
417194 -122.84 49.18 72 0.58 "strong" 128 192.971556903431 1549939 36 "Sitka_Coastal_Conifer_Forest"
419890 -121.96 49.12 15 0.58 "strong" 185 176.922251519062 1560767 36 "Sitka_Coastal_Conifer_Forest"
417237 -122.98 49.23 14 0.58 "strong" 186 201.620656909533 1550102 36 "Sitka_Coastal_Conifer_Forest"
419872 -122.56 49.1 55 0.58 "strong" 145 178.907706292765 1560684 36 "Sitka_Coastal_Conifer_Forest"
417167 -122.25 49.11 9 0.58 "strong" 191 176.448951449581 1549836 36 "Sitka_Coastal_Conifer_Forest"
417281 -123.06 49.26 24 0.58 "strong" 176 206.84557416228 1550243 36 "Sitka_Coastal_Conifer_Forest"
419908 -122.74 49.15 17 0.59 "strong" 183 187.60765883934 1560837 36 "Sitka_Coastal_Conifer_Forest"
417168 -122.22 49.11 5 0.59 "strong" 195 176.261413835804 1549838 36 "Sitka_Coastal_Conifer_Forest"
417279 -123.14 49.26 30 0.59 "strong" 170 209.092405673816 1550238 36 "Sitka_Coastal_Conifer_Forest"
417154 -121.87 49.06 147 0.59 "strong" 53 170.60038371857 1549783 36 "Sitka_Coastal_Conifer_Forest"
148814 -122 47.14 266 0.59 "strong" -66 43.4042127719699 477077 32 "Cascade-Sierran_Montane_Conifer_Forest"
419903 -121.86 49.13 14 0.6 "strong" 186 178.417760311412 1560820 36 "Sitka_Coastal_Conifer_Forest"
149832 -122.65 46.36 219 0.6 "strong" -19 138.21989349982 481150 31 "Oregonian_Coastal_Conifer_Forest"
419889 -122 49.12 13 0.6 "strong" 187 176.854501092562 1560765 36 "Sitka_Coastal_Conifer_Forest"
409268 -122.67 49.03 46 0.6 "strong" 154 173.364890169654 1518344 31 "Oregonian_Coastal_Conifer_Forest"
419888 -122.01 49.12 12 0.6 "strong" 188 176.845331035802 1560764 36 "Sitka_Coastal_Conifer_Forest"
422115 -121.95 49.04 152 0.6 "strong" 48 168.056109315689 1569776 36 "Sitka_Coastal_Conifer_Forest"
149862 -122.61 46.49 125 0.61 "moderate" 75 123.590724805192 481261 31 "Oregonian_Coastal_Conifer_Forest"
419902 -121.95 49.13 11 0.62 "moderate" 189 178.058358840773 1560815 36 "Sitka_Coastal_Conifer_Forest"
419852 -122.49 49.08 88 0.62 "moderate" 112 175.667196051731 1560614 36 "Sitka_Coastal_Conifer_Forest"
417202 -122.86 49.2 1 0.62 "moderate" 199 195.54264333757 1549986 36 "Sitka_Coastal_Conifer_Forest"
150317 -122.04 48.31 327 0.62 "moderate" -127 86.7615645025211 483092 31 "Oregonian_Coastal_Conifer_Forest"
417255 -123.13 49.25 41 0.62 "moderate" 159 207.782498454239 1550165 36 "Sitka_Coastal_Conifer_Forest"
149821 -122.96 46.31 213 0.62 "moderate" -13 152.820691451348 481107 31 "Oregonian_Coastal_Conifer_Forest"
417256 -123.01 49.25 30 0.62 "moderate" 170 204.477252484034 1550172 36 "Sitka_Coastal_Conifer_Forest"
150307 -122.04 48.22 72 0.62 "moderate" 128 76.7541006417156 483060 31 "Oregonian_Coastal_Conifer_Forest"
149873 -122.65 46.53 161 0.62 "moderate" 39 120.583488486231 481302 31 "Oregonian_Coastal_Conifer_Forest"
150074 -122.04 47.31 156 0.63 "moderate" 44 24.4295577376927 482081 31 "Oregonian_Coastal_Conifer_Forest"
419836 -122.72 49.07 1 0.63 "moderate" 199 178.664765325297 1560534 36 "Sitka_Coastal_Conifer_Forest"
149809 -122.83 46.27 158 0.63 "moderate" 42 152.592916545565 481077 31 "Oregonian_Coastal_Conifer_Forest"
419983 -123.63 49.41 46 0.63 "moderate" 154 240.063676502552 1561159 36 "Sitka_Coastal_Conifer_Forest"
419855 -122.44 49.08 89 0.64 "moderate" 111 174.991755605091 1560617 36 "Sitka_Coastal_Conifer_Forest"
