Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
Australian redcedar,Toona,ciliata,NA,NA,TOCI
boje,Torralbasia,cuneifolia,NA,NA,TOCU
California torreya (nutmeg),Torreya,californica,NA,NA,TOCA
Florida torreya (nutmeg),Torreya,taxifolia,NA,NA,TOTA
velvetleaf soldierbush,Tournefortia,argentea,NA,NA,TOAR2
cold withe,Tournefortia,filiflora,NA,NA,TOFI
Chinese windmill palm,Trachycarpus,fortunei,NA,NA,TRFO3
unknown dead hardwood,Tree,broadleaf,NA,NA,2TB
unknown dead conifer,Tree,evergreen,NA,NA,2TE
other or unknown live tree,Tree,unknown,NA,NA,2TREE
magele,Trema,cannabina,NA,NA,TRCA33
Lamarck's trema,Trema,lamarckiana,NA,NA,TRLA2
Jamaican nettletree,Trema,micrantha,NA,NA,TRMI2
oriental trema,Trema,orientalis,NA,NA,TROR
Chinese tallowtree,Triadica,sebifera,NA,NA,TRSE6
broomstick,Trichilia,hirta,NA,NA,TRHI3
gaita,Trichilia,pallida,NA,NA,TRPA2
bariaco,Trichilia,triacantha,NA,NA,TRTR8
Trichospermum ikutai,Trichospermum,ikutai,NA,NA,TRIK
"elsau, oleiulakersus",Trichospermum,ledermannii,NA,NA,TRLE8
maouli,Trichospermum,richii,NA,NA,TRRI9
ant tree,Triplaris,cumingiana,NA,NA,TRCU6
faia,Tristiropsis,obtusangula,NA,NA,TROB7
white ramoon,Trophis,racemosa,NA,NA,TRRA4
Trukia carolinensis,Trukia,carolinensis,NA,NA,TRCA7
eastern hemlock,Tsuga,canadensis,NA,NA,TSCA
Carolina hemlock,Tsuga,caroliniana,NA,NA,TSCA2
western hemlock,Tsuga,heterophylla,NA,NA,TSHE
mountain hemlock,Tsuga,mertensiana,NA,NA,TSME
muttonwood,Turpinia,occidentalis,NA,NA,TUOC
winged elm,Ulmus,alata,NA,NA,ULAL
American elm,Ulmus,americana,NA,NA,ULAM
cedar elm,Ulmus,crassifolia,NA,NA,ULCR
Japanese elm,Ulmus,davidiana,NA,NA,ULDA
Chinese elm,Ulmus,parvifolia,NA,NA,ULPA
English elm,Ulmus,procera,NA,NA,ULPR
Siberian elm,Ulmus,pumila,NA,NA,ULPU
slippery elm,Ulmus,rubra,NA,NA,ULRU
September elm,Ulmus,serotina,NA,NA,ULSE
rock elm,Ulmus,thomasii,NA,NA,ULTH
California laurel,Umbellularia,californica,NA,NA,UMCA
Mexican buckeye,Ungnadia,speciosa,NA,NA,UNSP
scratchbush,Urera,baccifera,NA,NA,URBA
flameberry,Urera,caracasana,NA,NA,URCA2
ortiga,Urera,chlorocarpa,NA,NA,URCH2
hopue,Urera,glabra,NA,NA,URGL
opuhe,Urera,kaalae,NA,NA,URKA
voa vanga,Vangueria,madagascariensis,NA,NA,VAMA5
Vavaea pauciflora,Vavaea,pauciflora,NA,NA,VAOA5
Manila palm,Veitchia,merrillii,NA,NA,VEME3
tungoil tree,Vernicia,fordii,NA,NA,VEFO
mu oil tree,Vernicia,montana,NA,NA,VEMO3
Siebold's arrowwood,Viburnum,sieboldii,NA,NA,VISI
lilac chastetree,Vitex,agnus-castus,NA,NA,VIAG
"bars, beokel",Vitex,cofassus,NA,NA,VICO17
higuerillo,Vitex,divaricata,NA,NA,VIDI2
Chinese chastetree,Vitex,negundo,NA,NA,VINE2
smallflower chastetree,Vitex,parviflora,NA,NA,VIPA6
simpleleaf chastetree,Vitex,trifolia,NA,NA,VITR7
