"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHLA" "CHNO" "CADE27" "PISI" "PIAT" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "SESE3" "TABR2" "THPL" "TOCA" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
570997 -122.6 43.81 430 1.06 "under_thresh" -230 415.763864025088 70997 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
571410 -122.69 43.86 460 1.06 "under_thresh" -260 411.048618927252 71410 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
573907 -122.73 44.19 396 1.06 "under_thresh" -196 375.107125310754 73907 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
573684 -122.84 44.16 274 1.06 "under_thresh" -74 379.720733622141 73684 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
570112 -122.73 43.7 457 1.06 "under_thresh" -257 429.085076370261 70112 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
587335 -122.68 46.39 150 1.06 "under_thresh" 50 135.891496500868 87335 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
572585 -122.9 44.01 366 1.06 "under_thresh" -166 396.946322948554 72585 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
587864 -121.91 46.5 91 1.06 "under_thresh" 109 114.86360828398 87864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
584937 -122.72 45.95 210 1.06 "under_thresh" -10 183.254414054146 84937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
580766 -122.42 45.22 299 1.07 "under_thresh" -99 258.449621347587 80766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
587916 -122.47 46.51 240 1.07 "under_thresh" -40 118.097130840964 87916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
574123 -122.78 44.22 396 1.07 "under_thresh" -196 372.389496229038 74123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588213 -122.47 46.57 240 1.07 "under_thresh" -40 111.705100920233 88213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
571145 -122.76 43.83 460 1.07 "under_thresh" -260 415.064346312729 71145 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
584589 -122.69 45.89 210 1.07 "under_thresh" -10 189.041649388025 84589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
585962 -122.79 46.14 180 1.07 "under_thresh" 20 164.888872986128 85962 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
