"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
148468 -122.47 43.98 510 1.17 "under_thresh" -310 395.987224327488 475582 32 "Cascade-Sierran_Montane_Conifer_Forest"
149346 -123.13 43.75 386 1.17 "under_thresh" -186 428.67363145491 479242 31 "Oregonian_Coastal_Conifer_Forest"
149422 -123 44.18 412 1.17 "under_thresh" -212 379.781370717557 479580 31 "Oregonian_Coastal_Conifer_Forest"
149345 -123.17 43.75 375 1.18 "under_thresh" -175 429.304890709359 479241 31 "Oregonian_Coastal_Conifer_Forest"
149542 -122.78 44.84 150 1.18 "under_thresh" 50 304.458858656586 480030 31 "Oregonian_Coastal_Conifer_Forest"
148859 -121.86 47.56 110 1.18 "under_thresh" 90 13.5613353813502 477270 32 "Cascade-Sierran_Montane_Conifer_Forest"
149378 -122.87 43.92 274 1.18 "under_thresh" -74 406.434075384958 479381 31 "Oregonian_Coastal_Conifer_Forest"
148446 -122.7 43.84 546 1.18 "under_thresh" -346 413.351633367095 475501 32 "Cascade-Sierran_Montane_Conifer_Forest"
149877 -123.09 46.57 69 1.19 "under_thresh" 131 133.471914411079 481334 31 "Oregonian_Coastal_Conifer_Forest"
148746 -122.23 46.54 281 1.19 "under_thresh" -81 111.0251944434 476822 32 "Cascade-Sierran_Montane_Conifer_Forest"
148884 -121.77 47.84 52 1.19 "under_thresh" 148 39.8074031203034 477383 32 "Cascade-Sierran_Montane_Conifer_Forest"
149923 -123.22 46.83 40 1.19 "under_thresh" 160 118.85092197729 481568 31 "Oregonian_Coastal_Conifer_Forest"
149821 -122.96 46.31 213 1.19 "under_thresh" -13 152.820691451348 481107 31 "Oregonian_Coastal_Conifer_Forest"
149873 -122.65 46.53 161 1.2 "under_thresh" 39 120.583488486231 481302 31 "Oregonian_Coastal_Conifer_Forest"
149525 -122.74 44.71 123 1.2 "under_thresh" 77 318.124601650002 479960 31 "Oregonian_Coastal_Conifer_Forest"
149922 -123.26 46.83 26 1.2 "under_thresh" 174 121.159416122538 481567 31 "Oregonian_Coastal_Conifer_Forest"
150142 -122 47.53 151 1.2 "under_thresh" 49 2.59809347422347 482344 31 "Oregonian_Coastal_Conifer_Forest"
149369 -123.52 43.88 145 1.21 "under_thresh" 55 421.797753644618 479333 31 "Oregonian_Coastal_Conifer_Forest"
149811 -122.7 46.27 267 1.21 "under_thresh" -67 148.936402409153 481080 31 "Oregonian_Coastal_Conifer_Forest"
150129 -122 47.48 181 1.22 "under_thresh" 19 6.10643339884089 482289 31 "Oregonian_Coastal_Conifer_Forest"
148434 -122.42 43.75 520 1.22 "under_thresh" -320 421.16417664909 475458 32 "Cascade-Sierran_Montane_Conifer_Forest"
149425 -122.83 44.18 191 1.22 "under_thresh" 9 377.399389496446 479584 31 "Oregonian_Coastal_Conifer_Forest"
148363 -122.79 43.33 656 1.22 "under_thresh" -456 470.477978906853 475173 32 "Cascade-Sierran_Montane_Conifer_Forest"
149386 -123.43 44.01 142 1.22 "under_thresh" 58 405.964160106264 479434 31 "Oregonian_Coastal_Conifer_Forest"
149599 -122.57 45.18 113 1.22 "under_thresh" 87 264.418496845721 480247 31 "Oregonian_Coastal_Conifer_Forest"
149344 -123.3 43.75 422 1.22 "under_thresh" -222 431.50553749017 479238 31 "Oregonian_Coastal_Conifer_Forest"
149868 -123.04 46.53 133 1.23 "under_thresh" 67 134.880444048534 481293 31 "Oregonian_Coastal_Conifer_Forest"
149347 -122.91 43.75 281 1.23 "under_thresh" -81 425.592973803612 479247 31 "Oregonian_Coastal_Conifer_Forest"
149319 -123.69 43.62 181 1.23 "under_thresh" 19 453.31180824663 479137 31 "Oregonian_Coastal_Conifer_Forest"
149820 -123 46.31 125 1.23 "under_thresh" 75 154.249567233496 481106 31 "Oregonian_Coastal_Conifer_Forest"
149316 -123.13 43.58 302 1.24 "under_thresh" -102 447.222850469389 479121 31 "Oregonian_Coastal_Conifer_Forest"
150170 -122 47.61 110 1.24 "under_thresh" 90 9.29765004306447 482452 31 "Oregonian_Coastal_Conifer_Forest"
148890 -121.82 47.88 84 1.24 "under_thresh" 116 42.1437116822106 477406 32 "Cascade-Sierran_Montane_Conifer_Forest"
148424 -122.51 43.7 629 1.24 "under_thresh" -429 427.257665542141 475430 32 "Cascade-Sierran_Montane_Conifer_Forest"
149780 -123.22 46.09 94 1.24 "under_thresh" 106 183.848850226097 480962 31 "Oregonian_Coastal_Conifer_Forest"
149795 -122.96 46.18 256 1.24 "under_thresh" -56 165.811735384001 481027 31 "Oregonian_Coastal_Conifer_Forest"
148340 -123.02 43.24 425 1.24 "under_thresh" -225 482.949427777062 475100 32 "Cascade-Sierran_Montane_Conifer_Forest"
419858 -122.06 49.08 1 1.25 "under_thresh" 199 172.397910242287 1560637 36 "Sitka_Coastal_Conifer_Forest"
419857 -122.08 49.08 1 1.25 "under_thresh" 199 172.420567060608 1560636 36 "Sitka_Coastal_Conifer_Forest"
419828 -122.09 49.05 1 1.25 "under_thresh" 199 169.10134997811 1560514 36 "Sitka_Coastal_Conifer_Forest"
148442 -122.42 43.8 389 1.25 "under_thresh" -189 415.622190997939 475483 32 "Cascade-Sierran_Montane_Conifer_Forest"
149355 -123.43 43.79 356 1.25 "under_thresh" -156 429.620931316545 479268 31 "Oregonian_Coastal_Conifer_Forest"
149893 -122.74 46.66 245 1.25 "under_thresh" -45 110.530660416378 481419 31 "Oregonian_Coastal_Conifer_Forest"
149390 -122.83 44.01 510 1.25 "under_thresh" -310 396.060409423392 479448 31 "Oregonian_Coastal_Conifer_Forest"
